Local Authority,Specimen date,Cases (new),Cumulative cases,"Cumulative incidence per 100,000 population",Testing episodes (new),Cumulative testing episodes
Outside Wales,15/05/2020,1,111,,11,449
Outside Wales,14/05/2020,1,110,,6,438
Outside Wales,13/05/2020,3,109,,9,432
Outside Wales,12/05/2020,0,106,,9,423
Outside Wales,11/05/2020,2,106,,8,414
Outside Wales,10/05/2020,2,104,,4,406
Outside Wales,09/05/2020,0,102,,3,402
Outside Wales,08/05/2020,2,102,,4,399
Outside Wales,07/05/2020,2,100,,9,395
Outside Wales,06/05/2020,0,98,,5,386
Outside Wales,05/05/2020,3,98,,8,381
Outside Wales,04/05/2020,1,95,,9,373
Outside Wales,03/05/2020,0,94,,5,364
Outside Wales,02/05/2020,1,94,,5,359
Outside Wales,01/05/2020,3,93,,11,354
Outside Wales,30/04/2020,1,90,,8,343
Outside Wales,29/04/2020,4,89,,5,335
Outside Wales,28/04/2020,1,85,,3,330
Outside Wales,27/04/2020,1,84,,9,327
Outside Wales,26/04/2020,0,83,,3,318
Outside Wales,25/04/2020,1,83,,6,315
Outside Wales,24/04/2020,3,82,,7,309
Outside Wales,23/04/2020,2,79,,5,302
Outside Wales,22/04/2020,1,77,,11,297
Outside Wales,21/04/2020,5,76,,10,286
Outside Wales,20/04/2020,5,71,,11,276
Outside Wales,19/04/2020,0,66,,3,265
Outside Wales,18/04/2020,1,66,,8,262
Outside Wales,17/04/2020,1,65,,5,254
Outside Wales,16/04/2020,4,64,,7,249
Outside Wales,15/04/2020,3,60,,11,242
Outside Wales,14/04/2020,2,57,,4,231
Outside Wales,13/04/2020,3,55,,6,227
Outside Wales,12/04/2020,1,52,,5,221
Outside Wales,11/04/2020,3,51,,5,216
Outside Wales,10/04/2020,2,48,,6,211
Outside Wales,09/04/2020,0,46,,10,205
Outside Wales,08/04/2020,2,46,,12,195
Outside Wales,07/04/2020,8,44,,21,183
Outside Wales,06/04/2020,3,36,,9,162
Outside Wales,05/04/2020,1,33,,3,153
Outside Wales,04/04/2020,0,32,,3,150
Outside Wales,03/04/2020,1,32,,7,147
Outside Wales,02/04/2020,2,31,,9,140
Outside Wales,01/04/2020,4,29,,9,131
Outside Wales,31/03/2020,4,25,,13,122
Outside Wales,30/03/2020,5,21,,14,109
Outside Wales,29/03/2020,2,16,,6,95
Outside Wales,28/03/2020,1,14,,4,89
Outside Wales,27/03/2020,3,13,,17,85
Outside Wales,26/03/2020,2,10,,4,68
Outside Wales,25/03/2020,2,8,,9,64
Outside Wales,24/03/2020,1,6,,10,55
Outside Wales,23/03/2020,2,5,,15,45
Outside Wales,22/03/2020,0,3,,2,30
Outside Wales,21/03/2020,0,3,,6,28
Outside Wales,20/03/2020,1,3,,5,22
Outside Wales,19/03/2020,0,2,,3,17
Outside Wales,18/03/2020,0,2,,2,14
Outside Wales,17/03/2020,0,2,,2,12
Outside Wales,16/03/2020,0,2,,2,10
Outside Wales,15/03/2020,1,2,,2,8
Outside Wales,14/03/2020,1,1,,1,6
Outside Wales,13/03/2020,0,0,,2,5
Outside Wales,12/03/2020,0,0,,0,3
Outside Wales,11/03/2020,0,0,,0,3
Outside Wales,10/03/2020,0,0,,0,3
Outside Wales,09/03/2020,0,0,,0,3
Outside Wales,08/03/2020,0,0,,0,3
Outside Wales,07/03/2020,0,0,,0,3
Outside Wales,06/03/2020,0,0,,0,3
Outside Wales,05/03/2020,0,0,,0,3
Outside Wales,04/03/2020,0,0,,0,3
Outside Wales,03/03/2020,0,0,,0,3
Outside Wales,02/03/2020,0,0,,0,3
Outside Wales,01/03/2020,0,0,,0,3
Outside Wales,29/02/2020,0,0,,0,3
Outside Wales,28/02/2020,0,0,,0,3
Outside Wales,27/02/2020,0,0,,1,3
Outside Wales,26/02/2020,0,0,,0,2
Outside Wales,25/02/2020,0,0,,0,2
Outside Wales,24/02/2020,0,0,,0,2
Outside Wales,23/02/2020,0,0,,0,2
Outside Wales,22/02/2020,0,0,,0,2
Outside Wales,21/02/2020,0,0,,0,2
Outside Wales,20/02/2020,0,0,,0,2
Outside Wales,19/02/2020,0,0,,0,2
Outside Wales,18/02/2020,0,0,,0,2
Outside Wales,17/02/2020,0,0,,0,2
Outside Wales,16/02/2020,0,0,,1,2
Outside Wales,15/02/2020,0,0,,0,1
Outside Wales,14/02/2020,0,0,,0,1
Outside Wales,13/02/2020,0,0,,0,1
Outside Wales,12/02/2020,0,0,,0,1
Outside Wales,11/02/2020,0,0,,0,1
Outside Wales,10/02/2020,0,0,,0,1
Outside Wales,09/02/2020,0,0,,0,1
Outside Wales,08/02/2020,0,0,,1,1
Outside Wales,07/02/2020,0,0,,0,0
Outside Wales,06/02/2020,0,0,,0,0
Outside Wales,05/02/2020,0,0,,0,0
Outside Wales,04/02/2020,0,0,,0,0
Outside Wales,03/02/2020,0,0,,0,0
Pembrokeshire,01/07/2020,0,286,228.7,1,5207
Pembrokeshire,30/06/2020,0,286,228.7,15,5206
Pembrokeshire,29/06/2020,0,286,228.7,54,5191
Pembrokeshire,28/06/2020,1,286,228.7,24,5137
Pembrokeshire,27/06/2020,0,285,227.9,19,5113
Pembrokeshire,26/06/2020,0,285,227.9,71,5094
Pembrokeshire,25/06/2020,0,285,227.9,48,5023
Pembrokeshire,24/06/2020,0,285,227.9,52,4975
Pembrokeshire,23/06/2020,0,285,227.9,27,4923
Pembrokeshire,22/06/2020,0,285,227.9,22,4896
Pembrokeshire,21/06/2020,0,285,227.9,8,4874
Pembrokeshire,20/06/2020,0,285,227.9,25,4866
Pembrokeshire,19/06/2020,0,285,227.9,64,4841
Pembrokeshire,18/06/2020,1,285,227.9,28,4777
Pembrokeshire,17/06/2020,0,284,227.1,49,4749
Pembrokeshire,16/06/2020,0,284,227.1,76,4700
Pembrokeshire,15/06/2020,0,284,227.1,31,4624
Pembrokeshire,14/06/2020,0,284,227.1,15,4593
Pembrokeshire,13/06/2020,2,284,227.1,29,4578
Pembrokeshire,12/06/2020,0,282,225.5,159,4549
Pembrokeshire,11/06/2020,1,282,225.5,173,4390
Pembrokeshire,10/06/2020,0,281,224.7,154,4217
Pembrokeshire,09/06/2020,0,281,224.7,255,4063
Pembrokeshire,08/06/2020,2,281,224.7,357,3808
Pembrokeshire,07/06/2020,1,279,223.1,60,3451
Pembrokeshire,06/06/2020,0,278,222.3,56,3391
Pembrokeshire,05/06/2020,0,278,222.3,93,3335
Pembrokeshire,04/06/2020,0,278,222.3,213,3242
Pembrokeshire,03/06/2020,0,278,222.3,69,3029
Pembrokeshire,02/06/2020,0,278,222.3,78,2960
Pembrokeshire,01/06/2020,0,278,222.3,100,2882
Pembrokeshire,31/05/2020,0,278,222.3,133,2782
Pembrokeshire,30/05/2020,0,278,222.3,130,2649
Pembrokeshire,29/05/2020,0,278,222.3,117,2519
Pembrokeshire,28/05/2020,1,278,222.3,169,2402
Pembrokeshire,27/05/2020,0,277,221.5,59,2233
Pembrokeshire,26/05/2020,0,277,221.5,182,2174
Pembrokeshire,25/05/2020,0,277,221.5,20,1992
Pembrokeshire,24/05/2020,0,277,221.5,16,1972
Pembrokeshire,23/05/2020,1,277,221.5,23,1956
Pembrokeshire,22/05/2020,0,276,220.7,44,1933
Pembrokeshire,21/05/2020,0,276,220.7,36,1889
Pembrokeshire,20/05/2020,0,276,220.7,29,1853
Pembrokeshire,19/05/2020,1,276,220.7,40,1824
Pembrokeshire,18/05/2020,3,275,219.9,31,1784
Pembrokeshire,17/05/2020,1,272,217.5,16,1753
Pembrokeshire,16/05/2020,1,271,216.7,21,1737
Pembrokeshire,15/05/2020,3,270,215.9,56,1716
Pembrokeshire,14/05/2020,4,267,213.5,60,1660
Pembrokeshire,13/05/2020,3,263,210.3,48,1600
Pembrokeshire,12/05/2020,3,260,207.9,78,1552
Pembrokeshire,11/05/2020,3,257,205.5,35,1474
Pembrokeshire,10/05/2020,1,254,203.1,19,1439
Pembrokeshire,09/05/2020,3,253,202.3,24,1420
Pembrokeshire,08/05/2020,3,250,199.9,32,1396
Pembrokeshire,07/05/2020,2,247,197.5,43,1364
Pembrokeshire,06/05/2020,6,245,195.9,83,1321
Pembrokeshire,05/05/2020,7,239,191.1,59,1238
Pembrokeshire,04/05/2020,2,232,185.5,45,1179
Pembrokeshire,03/05/2020,0,230,183.9,19,1134
Pembrokeshire,02/05/2020,1,230,183.9,21,1115
Pembrokeshire,01/05/2020,5,229,183.1,36,1094
Pembrokeshire,30/04/2020,3,224,179.1,31,1058
Pembrokeshire,29/04/2020,10,221,176.7,46,1027
Pembrokeshire,28/04/2020,0,211,168.7,28,981
Pembrokeshire,27/04/2020,6,211,168.7,26,953
Pembrokeshire,26/04/2020,3,205,163.9,17,927
Pembrokeshire,25/04/2020,4,202,161.5,21,910
Pembrokeshire,24/04/2020,3,198,158.3,30,889
Pembrokeshire,23/04/2020,5,195,155.9,36,859
Pembrokeshire,22/04/2020,9,190,151.9,34,823
Pembrokeshire,21/04/2020,7,181,144.7,37,789
Pembrokeshire,20/04/2020,8,174,139.1,25,752
Pembrokeshire,19/04/2020,2,166,132.7,29,727
Pembrokeshire,18/04/2020,3,164,131.1,22,698
Pembrokeshire,17/04/2020,9,161,128.7,37,676
Pembrokeshire,16/04/2020,7,152,121.5,34,639
Pembrokeshire,15/04/2020,9,145,115.9,39,605
Pembrokeshire,14/04/2020,5,136,108.8,18,566
Pembrokeshire,13/04/2020,3,131,104.8,14,548
Pembrokeshire,12/04/2020,1,128,102.4,13,534
Pembrokeshire,11/04/2020,14,127,101.6,35,521
Pembrokeshire,10/04/2020,15,113,90.4,31,486
Pembrokeshire,09/04/2020,13,98,78.4,24,455
Pembrokeshire,08/04/2020,4,85,68,17,431
Pembrokeshire,07/04/2020,6,81,64.8,20,414
Pembrokeshire,06/04/2020,13,75,60,27,394
Pembrokeshire,05/04/2020,10,62,49.6,25,367
Pembrokeshire,04/04/2020,4,52,41.6,13,342
Pembrokeshire,03/04/2020,9,48,38.4,19,329
Pembrokeshire,02/04/2020,6,39,31.2,12,310
Pembrokeshire,01/04/2020,3,33,26.4,25,298
Pembrokeshire,31/03/2020,4,30,24,20,273
Pembrokeshire,30/03/2020,5,26,20.8,15,253
Pembrokeshire,29/03/2020,1,21,16.8,20,238
Pembrokeshire,28/03/2020,2,20,16,10,218
Pembrokeshire,27/03/2020,3,18,14.4,17,208
Pembrokeshire,26/03/2020,3,15,12,20,191
Pembrokeshire,25/03/2020,4,12,9.6,14,171
Pembrokeshire,24/03/2020,0,8,6.4,14,157
Pembrokeshire,23/03/2020,3,8,6.4,12,143
Pembrokeshire,22/03/2020,2,5,4,20,131
Pembrokeshire,21/03/2020,2,3,2.4,14,111
Pembrokeshire,20/03/2020,0,1,0.8,11,97
Pembrokeshire,19/03/2020,0,1,0.8,11,86
Pembrokeshire,18/03/2020,0,1,0.8,5,75
Pembrokeshire,17/03/2020,0,1,0.8,12,70
Pembrokeshire,16/03/2020,0,1,0.8,5,58
Pembrokeshire,15/03/2020,0,1,0.8,4,53
Pembrokeshire,14/03/2020,0,1,0.8,4,49
Pembrokeshire,13/03/2020,0,1,0.8,4,45
Pembrokeshire,12/03/2020,1,1,0.8,10,41
Pembrokeshire,11/03/2020,0,0,0,2,31
Pembrokeshire,10/03/2020,0,0,0,2,29
Pembrokeshire,09/03/2020,0,0,0,1,27
Pembrokeshire,08/03/2020,0,0,0,0,26
Pembrokeshire,07/03/2020,0,0,0,0,26
Pembrokeshire,06/03/2020,0,0,0,0,26
Pembrokeshire,05/03/2020,0,0,0,2,26
Pembrokeshire,04/03/2020,0,0,0,1,24
Pembrokeshire,03/03/2020,0,0,0,1,23
Pembrokeshire,02/03/2020,0,0,0,0,22
Pembrokeshire,01/03/2020,0,0,0,1,22
Pembrokeshire,29/02/2020,0,0,0,5,21
Pembrokeshire,28/02/2020,0,0,0,1,16
Pembrokeshire,27/02/2020,0,0,0,8,15
Pembrokeshire,26/02/2020,0,0,0,1,7
Pembrokeshire,25/02/2020,0,0,0,0,6
Pembrokeshire,24/02/2020,0,0,0,0,6
Pembrokeshire,23/02/2020,0,0,0,0,6
Pembrokeshire,22/02/2020,0,0,0,1,6
Pembrokeshire,21/02/2020,0,0,0,0,5
Pembrokeshire,20/02/2020,0,0,0,0,5
Pembrokeshire,19/02/2020,0,0,0,0,5
Pembrokeshire,18/02/2020,0,0,0,0,5
Pembrokeshire,17/02/2020,0,0,0,2,5
Pembrokeshire,16/02/2020,0,0,0,1,3
Pembrokeshire,15/02/2020,0,0,0,0,2
Pembrokeshire,14/02/2020,0,0,0,0,2
Pembrokeshire,13/02/2020,0,0,0,0,2
Pembrokeshire,12/02/2020,0,0,0,0,2
Pembrokeshire,11/02/2020,0,0,0,0,2
Pembrokeshire,10/02/2020,0,0,0,0,2
Pembrokeshire,09/02/2020,0,0,0,0,2
Pembrokeshire,08/02/2020,0,0,0,2,2
Pembrokeshire,07/02/2020,0,0,0,0,0
Pembrokeshire,06/02/2020,0,0,0,0,0
Pembrokeshire,05/02/2020,0,0,0,0,0
Pembrokeshire,04/02/2020,0,0,0,0,0
Pembrokeshire,03/02/2020,0,0,0,0,0
Powys,01/07/2020,0,302,228,1,4395
Powys,30/06/2020,0,302,228,15,4394
Powys,29/06/2020,1,302,228,184,4379
Powys,28/06/2020,0,301,227.3,39,4195
Powys,27/06/2020,0,301,227.3,23,4156
Powys,26/06/2020,0,301,227.3,36,4133
Powys,25/06/2020,1,301,227.3,71,4097
Powys,24/06/2020,0,300,226.5,50,4026
Powys,23/06/2020,1,300,226.5,34,3976
Powys,22/06/2020,0,299,225.8,29,3942
Powys,21/06/2020,0,299,225.8,27,3913
Powys,20/06/2020,0,299,225.8,19,3886
Powys,19/06/2020,2,299,225.8,34,3867
Powys,18/06/2020,1,297,224.2,54,3833
Powys,17/06/2020,0,296,223.5,27,3779
Powys,16/06/2020,0,296,223.5,78,3752
Powys,15/06/2020,0,296,223.5,50,3674
Powys,14/06/2020,0,296,223.5,61,3624
Powys,13/06/2020,0,296,223.5,49,3563
Powys,12/06/2020,0,296,223.5,73,3514
Powys,11/06/2020,0,296,223.5,89,3441
Powys,10/06/2020,0,296,223.5,124,3352
Powys,09/06/2020,0,296,223.5,111,3228
Powys,08/06/2020,0,296,223.5,131,3117
Powys,07/06/2020,0,296,223.5,106,2986
Powys,06/06/2020,1,296,223.5,155,2880
Powys,05/06/2020,0,295,222.7,122,2725
Powys,04/06/2020,1,295,222.7,213,2603
Powys,03/06/2020,4,294,222,178,2390
Powys,02/06/2020,0,290,219,113,2212
Powys,01/06/2020,3,290,219,125,2099
Powys,31/05/2020,0,287,216.7,16,1974
Powys,30/05/2020,0,287,216.7,11,1958
Powys,29/05/2020,0,287,216.7,90,1947
Powys,28/05/2020,2,287,216.7,58,1857
Powys,27/05/2020,2,285,215.2,14,1799
Powys,26/05/2020,1,283,213.7,25,1785
Powys,25/05/2020,3,282,212.9,14,1760
Powys,24/05/2020,3,279,210.7,21,1746
Powys,23/05/2020,5,276,208.4,103,1725
Powys,22/05/2020,1,271,204.6,39,1622
Powys,21/05/2020,4,270,203.9,92,1583
Powys,20/05/2020,11,266,200.8,100,1491
Powys,19/05/2020,2,255,192.5,73,1391
Powys,18/05/2020,1,253,191,25,1318
Powys,17/05/2020,2,252,190.3,50,1293
Powys,16/05/2020,5,250,188.8,62,1243
Powys,15/05/2020,2,245,185,65,1181
Powys,14/05/2020,7,243,183.5,85,1116
Powys,13/05/2020,4,236,178.2,24,1031
Powys,12/05/2020,5,232,175.2,16,1007
Powys,11/05/2020,1,227,171.4,19,991
Powys,10/05/2020,8,226,170.6,41,972
Powys,09/05/2020,5,218,164.6,33,931
Powys,08/05/2020,6,213,160.8,36,898
Powys,07/05/2020,3,207,156.3,24,862
Powys,06/05/2020,2,204,154,24,838
Powys,05/05/2020,5,202,152.5,31,814
Powys,04/05/2020,1,197,148.7,15,783
Powys,03/05/2020,0,196,148,13,768
Powys,02/05/2020,10,196,148,23,755
Powys,01/05/2020,2,186,140.4,22,732
Powys,30/04/2020,6,184,138.9,31,710
Powys,29/04/2020,7,178,134.4,25,679
Powys,28/04/2020,1,171,129.1,20,654
Powys,27/04/2020,5,170,128.4,23,634
Powys,26/04/2020,1,165,124.6,3,611
Powys,25/04/2020,2,164,123.8,18,608
Powys,24/04/2020,3,162,122.3,16,590
Powys,23/04/2020,3,159,120,18,574
Powys,22/04/2020,3,156,117.8,18,556
Powys,21/04/2020,7,153,115.5,18,538
Powys,20/04/2020,3,146,110.2,25,520
Powys,19/04/2020,3,143,108,11,495
Powys,18/04/2020,14,140,105.7,27,484
Powys,17/04/2020,3,126,95.1,8,457
Powys,16/04/2020,2,123,92.9,9,449
Powys,15/04/2020,6,121,91.4,18,440
Powys,14/04/2020,8,115,86.8,14,422
Powys,13/04/2020,10,107,80.8,18,408
Powys,12/04/2020,2,97,73.2,6,390
Powys,11/04/2020,3,95,71.7,10,384
Powys,10/04/2020,8,92,69.5,16,374
Powys,09/04/2020,11,84,63.4,26,358
Powys,08/04/2020,4,73,55.1,15,332
Powys,07/04/2020,4,69,52.1,14,317
Powys,06/04/2020,5,65,49.1,16,303
Powys,05/04/2020,5,60,45.3,11,287
Powys,04/04/2020,7,55,41.5,19,276
Powys,03/04/2020,1,48,36.2,15,257
Powys,02/04/2020,2,47,35.5,12,242
Powys,01/04/2020,6,45,34,10,230
Powys,31/03/2020,4,39,29.4,21,220
Powys,30/03/2020,10,35,26.4,25,199
Powys,29/03/2020,3,25,18.9,9,174
Powys,28/03/2020,1,22,16.6,6,165
Powys,27/03/2020,1,21,15.9,13,159
Powys,26/03/2020,2,20,15.1,21,146
Powys,25/03/2020,2,18,13.6,12,125
Powys,24/03/2020,3,16,12.1,12,113
Powys,23/03/2020,2,13,9.8,20,101
Powys,22/03/2020,0,11,8.3,5,81
Powys,21/03/2020,0,11,8.3,4,76
Powys,20/03/2020,2,11,8.3,14,72
Powys,19/03/2020,0,9,6.8,3,58
Powys,18/03/2020,0,9,6.8,2,55
Powys,17/03/2020,0,9,6.8,11,53
Powys,16/03/2020,0,9,6.8,0,42
Powys,15/03/2020,0,9,6.8,1,42
Powys,14/03/2020,0,9,6.8,1,41
Powys,13/03/2020,4,9,6.8,7,40
Powys,12/03/2020,2,5,3.8,5,33
Powys,11/03/2020,1,3,2.3,5,28
Powys,10/03/2020,2,2,1.5,6,23
Powys,09/03/2020,0,0,0,3,17
Powys,08/03/2020,0,0,0,0,14
Powys,07/03/2020,0,0,0,0,14
Powys,06/03/2020,0,0,0,0,14
Powys,05/03/2020,0,0,0,1,14
Powys,04/03/2020,0,0,0,1,13
Powys,03/03/2020,0,0,0,2,12
Powys,02/03/2020,0,0,0,3,10
Powys,01/03/2020,0,0,0,0,7
Powys,29/02/2020,0,0,0,0,7
Powys,28/02/2020,0,0,0,0,7
Powys,27/02/2020,0,0,0,4,7
Powys,26/02/2020,0,0,0,0,3
Powys,25/02/2020,0,0,0,1,3
Powys,24/02/2020,0,0,0,0,2
Powys,23/02/2020,0,0,0,0,2
Powys,22/02/2020,0,0,0,0,2
Powys,21/02/2020,0,0,0,0,2
Powys,20/02/2020,0,0,0,0,2
Powys,19/02/2020,0,0,0,0,2
Powys,18/02/2020,0,0,0,0,2
Powys,17/02/2020,0,0,0,0,2
Powys,16/02/2020,0,0,0,2,2
Powys,15/02/2020,0,0,0,0,0
Powys,14/02/2020,0,0,0,0,0
Powys,13/02/2020,0,0,0,0,0
Powys,12/02/2020,0,0,0,0,0
Powys,11/02/2020,0,0,0,0,0
Powys,10/02/2020,0,0,0,0,0
Powys,09/02/2020,0,0,0,0,0
Powys,08/02/2020,0,0,0,0,0
Powys,07/02/2020,0,0,0,0,0
Powys,06/02/2020,0,0,0,0,0
Powys,05/02/2020,0,0,0,0,0
Powys,04/02/2020,0,0,0,0,0
Powys,03/02/2020,0,0,0,0,0
Rhondda Cynon Taf,01/07/2020,0,1789,745,0,11331
Rhondda Cynon Taf,30/06/2020,0,1789,745,42,11331
Rhondda Cynon Taf,29/06/2020,2,1789,745,98,11289
Rhondda Cynon Taf,28/06/2020,1,1787,744.2,43,11191
Rhondda Cynon Taf,27/06/2020,3,1786,743.8,59,11148
Rhondda Cynon Taf,26/06/2020,2,1783,742.5,127,11089
Rhondda Cynon Taf,25/06/2020,0,1781,741.7,100,10962
Rhondda Cynon Taf,24/06/2020,1,1781,741.7,125,10862
Rhondda Cynon Taf,23/06/2020,1,1780,741.3,129,10737
Rhondda Cynon Taf,22/06/2020,1,1779,740.8,122,10608
Rhondda Cynon Taf,21/06/2020,1,1778,740.4,47,10486
Rhondda Cynon Taf,20/06/2020,4,1777,740,87,10439
Rhondda Cynon Taf,19/06/2020,2,1773,738.3,230,10352
Rhondda Cynon Taf,18/06/2020,2,1771,737.5,140,10122
Rhondda Cynon Taf,17/06/2020,7,1769,736.7,152,9982
Rhondda Cynon Taf,16/06/2020,13,1762,733.8,163,9830
Rhondda Cynon Taf,15/06/2020,3,1749,728.4,146,9667
Rhondda Cynon Taf,14/06/2020,5,1746,727.1,75,9521
Rhondda Cynon Taf,13/06/2020,8,1741,725,129,9446
Rhondda Cynon Taf,12/06/2020,7,1733,721.7,239,9317
Rhondda Cynon Taf,11/06/2020,7,1726,718.8,179,9078
Rhondda Cynon Taf,10/06/2020,4,1719,715.9,174,8899
Rhondda Cynon Taf,09/06/2020,7,1715,714.2,165,8725
Rhondda Cynon Taf,08/06/2020,8,1708,711.3,175,8560
Rhondda Cynon Taf,07/06/2020,4,1700,707.9,120,8385
Rhondda Cynon Taf,06/06/2020,11,1696,706.3,129,8265
Rhondda Cynon Taf,05/06/2020,6,1685,701.7,185,8136
Rhondda Cynon Taf,04/06/2020,8,1679,699.2,261,7951
Rhondda Cynon Taf,03/06/2020,7,1671,695.9,191,7690
Rhondda Cynon Taf,02/06/2020,9,1664,693,274,7499
Rhondda Cynon Taf,01/06/2020,7,1655,689.2,182,7225
Rhondda Cynon Taf,31/05/2020,7,1648,686.3,137,7043
Rhondda Cynon Taf,30/05/2020,6,1641,683.4,153,6906
Rhondda Cynon Taf,29/05/2020,7,1635,680.9,270,6753
Rhondda Cynon Taf,28/05/2020,8,1628,678,212,6483
Rhondda Cynon Taf,27/05/2020,20,1620,674.6,169,6271
Rhondda Cynon Taf,26/05/2020,16,1600,666.3,221,6102
Rhondda Cynon Taf,25/05/2020,15,1584,659.6,115,5881
Rhondda Cynon Taf,24/05/2020,11,1569,653.4,85,5766
Rhondda Cynon Taf,23/05/2020,14,1558,648.8,144,5681
Rhondda Cynon Taf,22/05/2020,16,1544,643,198,5537
Rhondda Cynon Taf,21/05/2020,18,1528,636.3,165,5339
Rhondda Cynon Taf,20/05/2020,14,1510,628.8,143,5174
Rhondda Cynon Taf,19/05/2020,15,1496,623,112,5031
Rhondda Cynon Taf,18/05/2020,27,1481,616.7,143,4919
Rhondda Cynon Taf,17/05/2020,18,1454,605.5,94,4776
Rhondda Cynon Taf,16/05/2020,23,1436,598,109,4682
Rhondda Cynon Taf,15/05/2020,23,1413,588.4,156,4573
Rhondda Cynon Taf,14/05/2020,18,1390,578.9,113,4417
Rhondda Cynon Taf,13/05/2020,20,1372,571.4,98,4304
Rhondda Cynon Taf,12/05/2020,18,1352,563,91,4206
Rhondda Cynon Taf,11/05/2020,23,1334,555.5,91,4115
Rhondda Cynon Taf,10/05/2020,10,1311,546,40,4024
Rhondda Cynon Taf,09/05/2020,13,1301,541.8,52,3984
Rhondda Cynon Taf,08/05/2020,15,1288,536.4,71,3932
Rhondda Cynon Taf,07/05/2020,22,1273,530.1,120,3861
Rhondda Cynon Taf,06/05/2020,10,1251,521,77,3741
Rhondda Cynon Taf,05/05/2020,37,1241,516.8,119,3664
Rhondda Cynon Taf,04/05/2020,10,1204,501.4,70,3545
Rhondda Cynon Taf,03/05/2020,15,1194,497.2,36,3475
Rhondda Cynon Taf,02/05/2020,16,1179,491,91,3439
Rhondda Cynon Taf,01/05/2020,17,1163,484.3,140,3348
Rhondda Cynon Taf,30/04/2020,19,1146,477.2,89,3208
Rhondda Cynon Taf,29/04/2020,15,1127,469.3,96,3119
Rhondda Cynon Taf,28/04/2020,27,1112,463.1,135,3023
Rhondda Cynon Taf,27/04/2020,21,1085,451.8,89,2888
Rhondda Cynon Taf,26/04/2020,11,1064,443.1,44,2799
Rhondda Cynon Taf,25/04/2020,14,1053,438.5,92,2755
Rhondda Cynon Taf,24/04/2020,34,1039,432.7,137,2663
Rhondda Cynon Taf,23/04/2020,21,1005,418.5,90,2526
Rhondda Cynon Taf,22/04/2020,43,984,409.8,96,2436
Rhondda Cynon Taf,21/04/2020,29,941,391.9,84,2340
Rhondda Cynon Taf,20/04/2020,34,912,379.8,80,2256
Rhondda Cynon Taf,19/04/2020,23,878,365.6,58,2176
Rhondda Cynon Taf,18/04/2020,22,855,356.1,68,2118
Rhondda Cynon Taf,17/04/2020,43,833,346.9,104,2050
Rhondda Cynon Taf,16/04/2020,57,790,329,127,1946
Rhondda Cynon Taf,15/04/2020,46,733,305.3,91,1819
Rhondda Cynon Taf,14/04/2020,28,687,286.1,54,1728
Rhondda Cynon Taf,13/04/2020,31,659,274.4,72,1674
Rhondda Cynon Taf,12/04/2020,21,628,261.5,52,1602
Rhondda Cynon Taf,11/04/2020,33,607,252.8,65,1550
Rhondda Cynon Taf,10/04/2020,32,574,239,65,1485
Rhondda Cynon Taf,09/04/2020,42,542,225.7,93,1420
Rhondda Cynon Taf,08/04/2020,49,500,208.2,89,1327
Rhondda Cynon Taf,07/04/2020,45,451,187.8,97,1238
Rhondda Cynon Taf,06/04/2020,38,406,169.1,66,1141
Rhondda Cynon Taf,05/04/2020,22,368,153.2,53,1075
Rhondda Cynon Taf,04/04/2020,32,346,144.1,52,1022
Rhondda Cynon Taf,03/04/2020,42,314,130.8,67,970
Rhondda Cynon Taf,02/04/2020,39,272,113.3,71,903
Rhondda Cynon Taf,01/04/2020,40,233,97,97,832
Rhondda Cynon Taf,31/03/2020,27,193,80.4,58,735
Rhondda Cynon Taf,30/03/2020,37,166,69.1,90,677
Rhondda Cynon Taf,29/03/2020,16,129,53.7,44,587
Rhondda Cynon Taf,28/03/2020,14,113,47.1,37,543
Rhondda Cynon Taf,27/03/2020,37,99,41.2,79,506
Rhondda Cynon Taf,26/03/2020,17,62,25.8,57,427
Rhondda Cynon Taf,25/03/2020,13,45,18.7,62,370
Rhondda Cynon Taf,24/03/2020,11,32,13.3,59,308
Rhondda Cynon Taf,23/03/2020,6,21,8.7,31,249
Rhondda Cynon Taf,22/03/2020,5,15,6.2,34,218
Rhondda Cynon Taf,21/03/2020,1,10,4.2,38,184
Rhondda Cynon Taf,20/03/2020,6,9,3.7,20,146
Rhondda Cynon Taf,19/03/2020,1,3,1.2,21,126
Rhondda Cynon Taf,18/03/2020,0,2,0.8,5,105
Rhondda Cynon Taf,17/03/2020,0,2,0.8,21,100
Rhondda Cynon Taf,16/03/2020,0,2,0.8,12,79
Rhondda Cynon Taf,15/03/2020,0,2,0.8,6,67
Rhondda Cynon Taf,14/03/2020,0,2,0.8,4,61
Rhondda Cynon Taf,13/03/2020,2,2,0.8,11,57
Rhondda Cynon Taf,12/03/2020,0,0,0,4,46
Rhondda Cynon Taf,11/03/2020,0,0,0,3,42
Rhondda Cynon Taf,10/03/2020,0,0,0,3,39
Rhondda Cynon Taf,09/03/2020,0,0,0,0,36
Rhondda Cynon Taf,08/03/2020,0,0,0,0,36
Rhondda Cynon Taf,07/03/2020,0,0,0,0,36
Rhondda Cynon Taf,06/03/2020,0,0,0,1,36
Rhondda Cynon Taf,05/03/2020,0,0,0,5,35
Rhondda Cynon Taf,04/03/2020,0,0,0,4,30
Rhondda Cynon Taf,03/03/2020,0,0,0,1,26
